type,by,post_id,post_link,post_message,細分類,分類,大分,英文小標,picture,full_picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes_count_fb,comments_count_fb,reactions_count_fb,shares_count_fb,engagement_fb,comments_retrieved,comments_base,comments_replies,comment_likes_count,rea_NONE,rea_LIKE,rea_LOVE,rea_WOW,rea_HAHA,rea_SAD,rea_ANGRY,rea_THANKFUL,post_publ,年,月,日,1正評,2負,3中立,2+3,是否有負評
video,post_page_157215971120682,157215971120682_814353402073599,https://www.facebook.com/157215971120682/posts/814353402073599,??世大運跳水測試賽   臺灣選手收穫多  第二屆臺北城市盃跳水邀請賽暨總統盃跳水邀請賽 7~8日在臺北市立大學詩欣館登場 中華隊選手林昀蒂和賴昱燕 也利用測試賽調整比賽狀況並與國外選手切磋  ?想要欣賞國內外選手華麗的跳水動作 ??快來安排觀賽賽程 https://goo.gl/iByByx ??跳水購票網站 https://goo.gl/r8HLVN,跳水,運動,H,Diving,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19948458_814357862073153_4077730817990721536_n.jpg?oh=24486b0ea27b024a7bfb9d4d4b4f3098&oe=5A303CDC,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19948458_814357862073153_4077730817990721536_n.jpg?oh=63c3a2aa1438bdfd5ab1bad3a3db9c15&oe=5A317D66,https://www.facebook.com/taipei2017/videos/814353402073599/,facebook.com,2017-07-08T09:09:53+0000,1499504993,2017/7/8 11:09,810,7,832,43,882,6,3,3,0,0,810,16,1,4,0,1,0,2017/7/8,2017,7,8,9,1,0,1,1
photo,post_page_157215971120682,157215971120682_814214042087535,https://www.facebook.com/157215971120682/posts/814214042087535,??30 August  Celebrate with all the Universiade Heroes at the Closing Ceremony!   Get ready to party with the home-grown pop divas and SIAMSIAM ROBOT BAND at the Closing Ceremony!  Buy tickets now→https://goo.gl/AJpZAC,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19756492_814214042087535_1380978466741915178_n.jpg?oh=035c3152a96827662dcb5f98a11e3d89&oe=59EC05D0,https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/19756492_814214042087535_1380978466741915178_n.jpg?oh=fc6cfb3a441c275bc6958393347b3f81&oe=59F77911,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/814214042087535/?type=3,facebook.com,2017-07-08T05:14:00+0000,1499490840,2017/7/8 07:14,463,5,483,37,525,4,2,2,1,0,460,13,6,1,0,0,0,2017/7/8,2017,7,8,37,0,0,0,0
video,post_page_157215971120682,157215971120682_813691528806453,https://www.facebook.com/157215971120682/posts/813691528806453,?大家知道世大運的跳水比賽是怎麼比的嗎? 30 秒簡單介紹給你知!  ?想要現場感受一躍而下的速度感 跳水測試賽還有今天 (7/8) 1天  歡迎大家一起來詩欣館為選手加油喔! ??測試賽賽程: https://goo.gl/c3PDUC  ?想要欣賞國內外選手華麗的跳水動作 ??快來安排觀賽賽程 https://goo.gl/iByByx ??跳水購票網站 https://goo.gl/r8HLVN,跳水,運動,H,Diving,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19945117_813692018806404_3233873450607050752_n.jpg?oh=3873c3de88bfe81484e928af0b04504b&oe=59ED2EB6,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19945117_813692018806404_3233873450607050752_n.jpg?oh=2ee26c00900b59bbd14821cc38f4e632&oe=59F68F0C,https://www.facebook.com/taipei2017/videos/813691528806453/,facebook.com,2017-07-08T02:00:00+0000,1499479200,2017/7/8 04:00,854,12,879,77,968,12,7,5,3,0,851,15,8,2,0,0,0,2017/7/8,2017,7,8,22,0,1,1,0
video,post_page_157215971120682,157215971120682_812650845577188,https://www.facebook.com/157215971120682/posts/812650845577188,?? 世大運射箭測試賽持續於國體大田徑場舉行 ?  2017 亞洲盃射箭賽第三站暨世界排名賽今天進行到第四天 可以到會場提前感受賽會熱鬧氣氛喔!!!   想知道射箭比賽是什麼嗎? 複合弓跟反曲弓的差別是什麼呢? 讓熊讚運動教室和你說 ?  ?? 射箭每日賽程：https://goo.gl/oDWLL8 ??? 2017臺北世大運射箭票務 https://tickets.2017.taipei/schedule/17_TPE_01  Do you know what  differences between Recurve Bow and Compound Bow ?? Let s start with 熊讚Bravo s sports class !  ?? The comprtition schedule for Archery：https://goo.gl/oDWLL8 ??? Tickets for Archery https://tickets.2017.taipei/schedule/17_TPE_01,射箭,運動,H,Archery,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/16327507_719803108195296_3332507572128186368_n.jpg?oh=6b8f18e0e612505b864ff15d2ecfb763&oe=59FF491C,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/16327507_719803108195296_3332507572128186368_n.jpg?oh=5ca5000ba065cc408da813615e6284d8&oe=5A38FBA6,https://www.facebook.com/taipei2017/videos/812650845577188/,facebook.com,2017-07-07T09:17:00+0000,1499419020,2017/7/7 11:17,498,3,517,42,562,3,3,0,1,0,497,14,1,4,0,0,0,2017/7/7,2017,7,7,36,17,12,29,1
video,post_page_157215971120682,157215971120682_813632895478983,https://www.facebook.com/157215971120682/posts/813632895478983,??世大運射箭測試賽   中華隊選手提前適應場地??  ??亞洲盃射箭賽也是本次世大運測試賽 預賽在國立體大田徑場進行，決賽則在射箭場 ??複合弓及反曲弓世大運選手也都利用這次比賽提前適應場地 射箭是中華隊重點奪牌項目?? 讓我們來看看選手們比賽狀況吧！  ?? 射箭每日賽程：https://goo.gl/oDWLL8 ??? 2017臺北世大運射箭票務 https://tickets.2017.taipei/schedule/17_TPE_01,射箭,運動,H,Archery,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19937417_813636698811936_8369645886891884544_n.jpg?oh=f983986679a322688930bfd2c7a1a6e3&oe=5A2C4582,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19937417_813636698811936_8369645886891884544_n.jpg?oh=da18227cbd98eb0caeb792e4edf8e153&oe=59FADE38,https://www.facebook.com/taipei2017/videos/813632895478983/,facebook.com,2017-07-07T04:31:04+0000,1499401864,2017/7/7 06:31,530,4,545,18,567,4,3,1,1,0,529,12,0,3,0,0,0,2017/7/7,2017,7,7,13,0,1,1,0
photo,post_page_157215971120682,157215971120682_813776248797981,https://www.facebook.com/157215971120682/posts/813776248797981,1. Xinzhuang Station (O18):  Table tennis  at Xinzhuang Gymnasium  New Taipei City??  2. Fu Jen University Station (O19):  Football: at 用Fu Jen Catholic University Stadium  New Taipei City?,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19748499_813776248797981_6383176097465582556_n.jpg?oh=31eb514467a434d0c599b6191136020a&oe=59F96F84,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19748499_813776248797981_6383176097465582556_n.jpg?oh=06355e822e959ce407143cdd9edc4670&oe=5A01EE7B,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/813776248797981/?type=3,facebook.com,2017-07-07T04:00:00+0000,1499400000,2017/7/7 06:00,15,0,15,0,15,0,0,0,0,0,15,0,0,0,0,0,0,2017/7/7,2017,7,7,2,0,1,1,0
photo,post_page_157215971120682,157215971120682_813590315483241,https://www.facebook.com/157215971120682/posts/813590315483241,??Taiwan High Speed Rail join up as the official partner of Taipei 2017 Universiade??  Taiwan High Speed Rail give a warm welcome to all passengers and tourists to join Taipei 2017 Universiade with us!  For more information: https://goo.gl/9JTaMZ,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19875284_813590315483241_1110764048202028125_n.jpg?oh=f6a5f61ab3b977484f531d4fca193111&oe=5A2FD881,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19875284_813590315483241_1110764048202028125_n.jpg?oh=2c8eae9d4d14dc4e4fe5edc909bb7a25&oe=59EEDC7E,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/813590315483241/?type=3,facebook.com,2017-07-07T02:03:01+0000,1499392981,2017/7/7 04:03,506,4,517,10,531,3,2,1,7,0,505,9,0,2,0,0,0,2017/7/7,2017,7,7,11,0,0,0,0
video,post_page_157215971120682,157215971120682_813180685524204,https://www.facebook.com/157215971120682/posts/813180685524204,??世大運聖火國內傳遞首站  登上臺灣最高峰-玉山   國內聖火隊由 10 位擅長登山、體能強健的火炬手組成，在原聲合唱團與鄒族 YUYUPAS 舞蹈團的歌舞祝福中，他們攜帶沉重的登山裝備，登上玉山，準備在 0 度的寒冷氣候中點燃火炬??  下一站 7 月 13 日我們澎湖見，澎湖的鄉親一起來見證吧?  ? 更多世大運聖火傳遞 https://goo.gl/agUCee ?? 想要看聖火點燃嗎? https://goo.gl/xr1dgr ?? 快點安排您的觀賽日程吧！https://goo.gl/BeWhh7  ??The first stop of domestic torch relay - Mt. Jade  The Taipei 2017 SU torch relay will be carried first to Mt. Jade  the hightest peak in Taiwan. Aborigines dance and sing to give athletes their blessing. 10 torchbearers fight againgt the coldness  challenge their strength and will  and climb high to light Taiwan.  ?? For more torch relay: https://goo.gl/4jgnJD ?? Tickets for Taipei 2017: https://tickets.2017.taipei/,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19928609_813183062190633_3855285218961260544_n.jpg?oh=d688119ba9d5d337788d2b5fe6202b08&oe=5A330031,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19928609_813183062190633_3855285218961260544_n.jpg?oh=93aaf661fcb1dbe6426ac9a50b9724b2&oe=5A01D98B,https://www.facebook.com/taipei2017/videos/813180685524204/,facebook.com,2017-07-06T09:20:49+0000,1499332849,2017/7/6 11:20,1244,17,1299,67,1383,17,16,1,5,0,1239,41,13,1,0,0,0,2017/7/6,2017,7,6,29,0,0,0,0
photo,post_page_157215971120682,157215971120682_812603505581922,https://www.facebook.com/157215971120682/posts/812603505581922,?? The domestic torch relay started today!!   ? The core concept of the relay is “ LOVE = Taipei ”.   The design also symbolizes connections among the 22 cities and counties of Taiwan through love.  After being lit at the top of Mt. Jade  the relay route will consist of four stages  one for each letter of LOVE.  ?? For more Torch Relay https://goo.gl/ss6wr1 ?? Tickets https://tickets.2017.taipei,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19702318_812603505581922_892403807004245906_n.png?oh=829051cac4805e9fecf41004e7990c66&oe=5A2B5F03,https://scontent.xx.fbcdn.net/v/t1.0-9/19702318_812603505581922_892403807004245906_n.png?oh=a6aaed285af87ab0ac2169fd30cf8719&oe=59F60BB0,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/812603505581922/?type=3,facebook.com,2017-07-06T03:44:00+0000,1499312640,2017/7/6 05:44,2187,40,2343,175,2558,38,25,13,50,0,2182,100,22,33,0,1,0,2017/7/6,2017,7,6,9,0,0,0,0
video,post_page_157215971120682,157215971120682_812613228914283,https://www.facebook.com/157215971120682/posts/812613228914283,?? 國內聖火傳遞明天開跑 ? 7 月 6 日將傳上臺灣第一高峰—玉山  想知道舉重國手 郭婞淳 KUO  Hsing-Chun 及桌球國手 江宏傑 Chiang Hung-Chieh 身上穿的衣服是怎麼做出來的嗎?? 在聖火上玉山前，一起來看看臺灣設計製造的火炬手服裝吧!  ?? 更多火炬手服裝 https://goo.gl/ZoRrLq ?? 想要看聖火儀式嗎? https://tickets.2017.taipei  The design of the torchbearers’ apparel resembles the appeals the Universiade emphasizes on  which are culture  technology  and environmental friendly. The design also symbolizes the spirit that Taipei holds in this international feast  “stick to the tradition but also bold to innovate”. We also show to the world Taiwan’s strength in designing and manufacturing.  ?? For more information: https://goo.gl/MY6iJ3 ?? Tickets https://tickets.2017.taipei,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19920437_812618005580472_2819795640714788864_n.jpg?oh=5b16d0e2176836c36c6ebd6aa38c937e&oe=5A352D9E,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19920437_812618005580472_2819795640714788864_n.jpg?oh=3a5ec337796ba614bc299d575e7656e1&oe=5A36AE24,https://www.facebook.com/taipei2017/videos/812613228914283/,facebook.com,2017-07-05T10:26:39+0000,1499250399,2017/7/5 12:26,943,11,974,110,1095,11,9,2,3,0,941,26,5,0,0,0,0,2017/7/5,2017,7,5,10,0,0,0,0
photo,post_page_157215971120682,157215971120682_812041688971437,https://www.facebook.com/157215971120682/posts/812041688971437,【發現世大運得獎名單公布】 照片最多讚 恭喜Lydia SC、孫霞 、陳俐安 你們的照片獲得前三多個讚 請再私訊姓名地址電話給粉絲團管理員喔!,抽獎,抽獎,C,C,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/18425129_781511295357810_3034459009536859114_n.jpg?oh=a21d74e7ffc803fc3203005e0fc98800&oe=59FAD6DC,https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/18425129_781511295357810_3034459009536859114_n.jpg?oh=ea24a5a7c12b20eba86a0b1d4df196cf&oe=5A37411D,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/781511295357810/?type=3,facebook.com,2017-07-05T03:44:00+0000,1499226240,2017/7/5 05:44,229,10,235,0,245,4,3,1,7,0,229,5,0,0,1,0,0,2017/7/5,2017,7,5,345,1,8,9,1
photo,post_page_157215971120682,157215971120682_812007792308160,https://www.facebook.com/157215971120682/posts/812007792308160,?? 30 Days Countdown – Universiade Taipei Carnival ??  The Carnival will turn Chianti Avenue Plaza into a massive dance floor. We would like to invite you to celebrate the 30 Days countdown to Taipei 2017 Summer Universiade. Shall we dance!  Date: July 16th   2017  2:00 pm Venue: Chianti Avenue Plaza For more information  please visit: http://events.2017.taipei/,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19657244_812007792308160_1775922998141181046_n.jpg?oh=b77b782e73b83ebf1d127776eeaa7830&oe=59EF5B77,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19657244_812007792308160_1775922998141181046_n.jpg?oh=b53972a5b291b8db31357b508ee55e51&oe=5A330688,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/812007792308160/?type=3,facebook.com,2017-07-04T06:53:30+0000,1499151210,2017/7/4 08:53,274,4,279,8,291,4,4,0,0,0,274,5,0,0,0,0,0,2017/7/4,2017,7,4,1,0,0,0,0
photo,post_page_157215971120682,157215971120682_811434955698777,https://www.facebook.com/157215971120682/posts/811434955698777,???????指考英文中翻英　你也來考看看????????  ?這次大學指考英文科目中，世界大學運動會在中翻英這題出現 不知道同學們考得如何??? 可以幫我們在留言處寫下你的答案嗎?  考完試別忘了，?? 快點安排您的觀賽日程吧！https://goo.gl/BeWhh7,其他,售票,K,K,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19554747_811434955698777_3835228655466178798_n.jpg?oh=4988a834711cf32d1d72b74992336bf4&oe=5A2AF7D6,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19554747_811434955698777_3835228655466178798_n.jpg?oh=5817ff7b43013eb2f8f28058fa4ce47c&oe=59EEF129,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/811434955698777/?type=3,facebook.com,2017-07-03T09:20:34+0000,1499073634,2017/7/3 11:20,512,10,529,8,547,10,10,0,8,0,512,9,5,2,0,1,0,2017/7/3,2017,7,3,31,0,2,2,0
video,post_page_157215971120682,157215971120682_810964829079123,https://www.facebook.com/157215971120682/posts/810964829079123,【名人說故事3】桌球王子江宏傑  你知道江宏傑是世大運的奪牌保證嗎? 本屆世大運也預計會是江宏傑的世大運最終戰 所以今天 蔡阿嘎 要跟你分享 江宏傑 Chiang Hung-Chieh 的故事 還要號召所有人一起來當選手的後盾  #名人說故事 #2017臺北世大運   ?? 桌球每日賽程：https://goo.gl/Qi9AFB ??? 桌球票務 https://goo.gl/fBfN8s,桌球,運動,H,Table Tennis,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19770989_810972072411732_8220805470286249984_n.jpg?oh=ab563bb7f5fc198219605e70f0925328&oe=59EBC95E,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19770989_810972072411732_8220805470286249984_n.jpg?oh=f7257528da32558e9ce722c67bdbb5cb&oe=59FAF5E4,https://www.facebook.com/taipei2017/videos/810964829079123/,facebook.com,2017-07-02T13:01:49+0000,1499000509,2017/7/2 15:01,3471,37,3601,182,3820,37,30,7,31,0,3468,104,2,22,1,0,0,2017/7/2,2017,7,2,0,0,0,0,0
video,post_page_157215971120682,157215971120682_810638019111804,https://www.facebook.com/157215971120682/posts/810638019111804,2017搖滾世大運 大聲唱出I am here 為世大運加油  本活動由臺北市政府觀光傳播局主辦 #iamhere搖滾世大運 #2017臺北世大運,其他,一般推廣,B,B,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19747500_810672425775030_2446277152618840064_n.jpg?oh=6bde2d81729d6b5c5dcc5c3d116286b6&oe=59FB11FE,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19747500_810672425775030_2446277152618840064_n.jpg?oh=a3d29b03768724e11f2e98478788e29e&oe=59EC2544,https://www.facebook.com/taipei2017/videos/810638019111804/,facebook.com,2017-07-02T02:55:19+0000,1498964119,2017/7/2 04:55,1111,24,1152,38,1214,23,22,1,14,0,1109,28,3,8,1,1,0,2017/7/2,2017,7,2,31,0,4,4,0
video,post_page_157215971120682,157215971120682_810075392501400,https://www.facebook.com/157215971120682/posts/810075392501400,??【有問必答】五個游泳比賽變強小秘訣??  想知道怎麼從社團游到全國嗎??? 想在自由式的比賽中脫穎而出嗎??? 讓 50 公尺自由式的全國紀錄保持人吳浚鋒告訴你 5 個自由式比賽的小秘訣（筆記中）  ??? 2017臺北世大運游泳在國立體育大學體育館 一起進場為我們的運動員加油！https://goo.gl/BYBRXt ?? 臺北世大運游泳賽程：https://goo.gl/cHCrfq,游泳,運動,H,Swimming,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19725626_810123329163273_955877849699450880_n.jpg?oh=685f8a06f79e8ac04c3006d41a272d40&oe=5A2E1A40,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19725626_810123329163273_955877849699450880_n.jpg?oh=0e053edcc3b636c6358484bbc412f570&oe=59F52705,https://www.facebook.com/taipei2017/videos/810075392501400/,facebook.com,2017-07-02T01:00:00+0000,1498957200,2017/7/2 03:00,1968,65,2028,401,2494,65,35,30,56,0,1967,44,13,3,0,0,0,2017/7/2,2017,7,2,4,0,0,0,0
video,post_page_157215971120682,157215971120682_810144895827783,https://www.facebook.com/157215971120682/posts/810144895827783,【名人說故事3】引言人- 蔡阿嘎  這次他要說一個桌球王子 江宏傑 Chiang Hung-Chieh的故事 還要號召所有人一起來當選手的後盾  明天7/2 晚上9:00 完整呈現  #名人說故事 #2017臺北世大運  ?? 桌球每日賽程：https://goo.gl/Qi9AFB ??? 桌球票務 https://goo.gl/fBfN8s,桌球,運動,H,Table Tennis,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19725594_810147129160893_6520512313907216384_n.jpg?oh=a95b6320bc95d010ea2727a91951a462&oe=59F9E59C,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19725594_810147129160893_6520512313907216384_n.jpg?oh=93879b2a973f6eb3830a226ca31e5fd3&oe=59F86426,https://www.facebook.com/taipei2017/videos/810144895827783/,facebook.com,2017-07-01T13:00:00+0000,1498914000,2017/7/1 15:00,827,14,847,27,888,14,6,8,1,0,826,12,6,2,0,0,0,2017/7/1,2017,7,1,8,0,2,2,0
photo,post_page_157215971120682,157215971120682_810062955835977,https://www.facebook.com/157215971120682/posts/810062955835977,??明天市民廣場，一起搖滾世大運?????  7月2日上午 10 點 50 分 趕快來到臺北市政府前 市民廣場  讓我們一起大聲唱出「I AM HERE」！ 為世大運集氣加油！  #iamhere搖滾世大運 #臺北世大運加油  ?? 更多搖滾世大運 http://rock.2017.taipei/ ?? 搖滾世大運活動頁面 https://goo.gl/7jjm53,活動,活動,D,D,https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/19665164_810062955835977_1487331844112472961_n.jpg?oh=03e693237d9fb2874d2a3e9edc4edb5b&oe=59F66203,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/19665164_810062955835977_1487331844112472961_n.jpg?oh=26b6c4d6382b2d19fffaef558f81a405&oe=59FC7FFC,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/810062955835977/?type=3,facebook.com,2017-07-01T07:42:14+0000,1498894934,2017/7/1 09:42,475,3,481,11,495,3,3,0,0,0,474,3,3,0,0,0,0,2017/7/1,2017,7,1,0,0,0,0,0
video,post_page_157215971120682,157215971120682_809579722550967,https://www.facebook.com/157215971120682/posts/809579722550967,??2017臺北世大運游泳測試賽??  國立體大綜合體育館開 游 ?? 臺灣師大張國基50公尺蝶式金牌??、50公尺仰式銀牌?? 臺灣體大廖曼汶50公尺蛙式金牌??  7/1、7/2游泳測試賽持續進行???? 炎炎夏日進場為選手加油是你消暑的好選擇??  ??歡迎大家來國立體大體育館這個特別游泳池為選手加油!  ??賽程：https://goo.gl/gdRChb ???8/20~8/27 2017臺北世大運游泳 在國立體育大學體育館 一起來看游泳比賽吧！https://goo.gl/6aDQx8,游泳,運動,H,Swimming,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19665904_809580802550859_5653522742293561344_n.jpg?oh=01f8cd9825cc13220a766dbc34696f49&oe=5A379582,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19665904_809580802550859_5653522742293561344_n.jpg?oh=8e524498c19033e8efd5ef0ae627907e&oe=5A36F438,https://www.facebook.com/taipei2017/videos/809579722550967/,facebook.com,2017-06-30T14:59:45+0000,1498834785,2017/6/30 16:59,892,11,905,23,939,11,4,7,4,0,890,12,1,0,0,0,0,2017/6/30,2017,6,30,14,0,7,7,0
event,post_page_157215971120682,157215971120682_782352888593015,https://www.facebook.com/157215971120682/posts/782352888593015,《一起世大運 30 倒數》各種風格舞團接力演出 佛拉明哥舞團、巴西戰舞卡波耶拉、印度舞蹈、肚皮舞、拉丁騷莎、夏威夷草裙舞、美國復古搖擺舞…等  還可試穿異國風情舞衣，體驗經典舞蹈  從遊行踩街到大匯演，世大運主題曲整點報時， 各式舞蹈多元演繹，一起歡慶迎接世大運！  《一起世大運 30 倒數》 時間：2017.7.16 (日) 14:00-19:00 地點：信義香堤廣場 詳細活動介紹：http://events.2017.taipei/  2017臺北世大運將於 30 天後開幕！ 這次，讓我們用舞蹈迎接世大運！,倒數,倒數,F,F,https://scontent.xx.fbcdn.net/v/t1.0-0/c114.0.130.130/p130x130/19598779_809561685886104_198865836127943898_n.jpg?oh=ed3decaa3011a1267d0629f28bb48436&oe=59FEA945,https://scontent.xx.fbcdn.net/v/t1.0-9/c332.0.376.376/19598779_809561685886104_198865836127943898_n.jpg?oh=f192fa601b26ca4d412fd60677b4b103&oe=5A2A72F3,https://www.facebook.com/events/782352888593015/,facebook.com,2017-06-30T12:57:35+0000,1498827455,2017/6/30 14:57,712,29,739,0,768,29,24,5,26,0,709,20,5,0,0,2,0,2017/6/30,2017,6,30,3,0,0,0,0
video,post_page_157215971120682,157215971120682_808891442619795,https://www.facebook.com/157215971120682/posts/808891442619795,??2017臺北世大運聖火－返臺駐火  ??大家快來臺北市府西大門前朝聖?  ??跆拳道好手陳詩欣擔任火炬手交接給柯文哲市長 從 6 月 29 日到 8 月 19 日賽會開幕， 聖火將停駐於市府正門駐火臺，24 小時不間斷  7 月起聖火將前進臺灣最高峰－玉山以及全臺 22 個縣市的傳遞 接下來交棒給臺灣各地民眾，一起用熱情迎接世大運聖火??  ? 更多世大運聖火新聞》https://goo.gl/ZTqwZF ?? 想要看聖火點燃嗎? https://goo.gl/xr1dgr ?? 快點安排您的觀賽日程吧！https://goo.gl/BeWhh7,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19639846_808896302619309_354764298649600_n.jpg?oh=fa872aaa4b396d1f2bf7e73c3a706863&oe=5A2D9018,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19639846_808896302619309_354764298649600_n.jpg?oh=7c0527c1060da2027238d5e88bcf0982&oe=5A2D6A5A,https://www.facebook.com/taipei2017/videos/808891442619795/,facebook.com,2017-06-30T02:44:00+0000,1498790640,2017/6/30 04:44,1414,14,1459,90,1563,9,9,0,2,0,1412,39,3,2,0,0,0,2017/6/30,2017,6,30,48,0,2,2,0
video,post_page_157215971120682,157215971120682_808777989297807,https://www.facebook.com/157215971120682/posts/808777989297807,??2017臺北世大運聖火傳遞第4站-韓國大邱  ??跆拳道好手陳怡安、陳詩欣擔任火炬手 到臺北市姊妹市-韓國大邱傳遞聖火  從 6 月 20 日在義大利杜林母火引燃後， 9 天完成歐亞二洲， 4 個城市 30 個以上傳遞點 聖火 6/29 已抵達臺北市政府駐火  7 月起聖火將前進臺灣最高峰－玉山以及全臺 22 個縣市的傳遞 接下來交棒給臺灣各地民眾，一起用熱情迎接世大運聖火??  ??更多世大運聖火新聞》https://goo.gl/vwwiQj ??? 一起進場為我們的運動員加油！http://tickets.2017.taipei,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19644730_808779065964366_6038615256719163392_n.jpg?oh=699c5c090d3fd99507b3649b1473a816&oe=5A2A6181,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19644730_808779065964366_6038615256719163392_n.jpg?oh=6939fc5a6914fe1e0fe5475e595a7316&oe=5A394D3B,https://www.facebook.com/taipei2017/videos/808777989297807/,facebook.com,2017-06-29T09:26:13+0000,1498728373,2017/6/29 11:26,866,11,890,36,937,10,4,6,6,0,866,20,1,3,0,0,0,2017/6/29,2017,6,29,0,0,0,0,0
photo,post_page_157215971120682,157215971120682_808689549306651,https://www.facebook.com/157215971120682/posts/808689549306651,??就是明天！排球門票 中午開賣? 6 月 30 日 ( 五 ) 中午 12 點開賣 要搶票的看過來??  萬眾矚目的「排球」競賽門票 將在 6 月 30 日中午 12 點 於世大運購票網站 https://tickets.2017.taipei 及 3 大超商機臺 （7-ELEVEN ibon、萊爾富 Life-ET 及 OK超商 OK‧Go） 同步開賣  快快「排」除萬難，發揮中華隊的主場優勢，進場加油??  ?? 更多購票相關資訊 https://goo.gl/HaHcKw ?? 排球每日賽程：https://goo.gl/5kjhZr  如票務相關問題洽世大運票務客服專線 02-8772-9805,售票,售票,K,K,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19437371_808689549306651_5178711888767866444_n.jpg?oh=3cf582e90ab7d3b2fed1e3f2c8c0101c&oe=59F2732B,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19437371_808689549306651_5178711888767866444_n.jpg?oh=a1db7448dd97a9e0b08202541f5a494d&oe=5A371ED4,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/808689549306651/?type=3,facebook.com,2017-06-29T06:35:03+0000,1498718103,2017/6/29 08:35,1491,358,1536,155,2049,354,165,189,77,0,1490,31,13,0,1,0,0,2017/6/29,2017,6,29,23,0,4,4,0
