type,by,post_id,post_link,post_message,細分類,分類,大分,英文小標,picture,full_picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes_count_fb,comments_count_fb,reactions_count_fb,shares_count_fb,engagement_fb,comments_retrieved,comments_base,comments_replies,comment_likes_count,rea_NONE,rea_LIKE,rea_LOVE,rea_WOW,rea_HAHA,rea_SAD,rea_ANGRY,rea_THANKFUL,post_publ,年,月,日,1正評,2負,3中立,2+3,是否有負評,是否有正評
photo,post_page_157215971120682,157215971120682_829129633929309,https://www.facebook.com/157215971120682/posts/829129633929309,8 月 5 日（六）舉辦開幕典禮系統測試 ?林口選手村及臺北田徑場周邊將配合實施交通管制 ?  大台北地區朋友請注意！ 本週六 8 月 5 日下午舉行「世大運開幕典禮測試」 「林口選手村」及「臺北田徑場」周邊 部分路段封閉、公車停靠站位調整 8月5日欲於上述管制時段及管制範圍進出之民眾，請提前改道。  造成不便敬請見諒，臺北世大運感謝您?  ?? 詳細交通管制資訊 https://goo.gl/2DXEAW,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/20604357_829158647259741_758749104490524770_n.jpg?oh=bb463aa3dd2fb899bdbde955d3e62e3b&oe=5A376F2D,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/20604357_829158647259741_758749104490524770_n.jpg?oh=7a44c16f0bbf8edf19efdd754bb3920a&oe=5A2CFADA,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/829158647259741/?type=3,facebook.com,2017-08-03T12:03:44+0000,1501761824,2017/8/3 14:03,194,0,196,14,210,0,0,0,0,0,194,2,0,0,0,0,0,2017/8/3,2017,8,3,1984,6,13,19,1,0
photo,post_page_157215971120682,157215971120682_829015207274085,https://www.facebook.com/157215971120682/posts/829015207274085,??快來和我們一起追聖火   全臺聖火傳遞已經快要接近完成了 明日 (8/4) 聖火即將要到 LOVE 的最後一個字母E  E 的第一個點是在新竹縣喔  接下來還會經過新竹市、桃園市、新北市與基隆市 世大運開幕隨著聖火傳遞的腳步越來越靠近了!!  ?? 更多國內聖火傳遞 https://goo.gl/vZKri6 ? 快來High翻閉幕式買票去 https://goo.gl/AJpZAC  #追聖火 #新竹縣 #新竹市 #桃園市 #新北市 #基隆市  #2017臺北世大運 #Torchrelay #SUTaipei2017,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20525757_829015170607422_7437992831180063366_n.jpg?oh=1afce6a5f0c7aecf807a0f79f507697e&oe=5A39A5E1,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20525757_829015170607422_7437992831180063366_n.jpg?oh=262af43f6a294f2ab11f0a7fa3aa043b&oe=5A01F11E,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/829015170607422/?type=3,facebook.com,2017-08-03T09:17:00+0000,1501751820,2017/8/3 11:17,338,5,347,27,379,5,3,2,1,0,338,8,1,0,0,0,0,2017/8/3,2017,8,3,19,2,7,9,1,0
event,post_page_157215971120682,157215971120682_148362095743429,https://www.facebook.com/157215971120682/posts/148362095743429,倒數一週，世大運即將開幕！ 力與美的體育表演，讓我們看見運動員無限潛能！ 「2017臺北世大運」這場青春的運動饗宴，進入最後衝刺，《一起世大運 8倒數》將展現大學生們的青春活力，搭配世大運22項賽事，用力與美的體育表演會，歡慶世大運的到來！  《一起世大運 8倒數 看見!青春之力》 時間：2017.8.11(五)19:00 地點：信義香堤廣場 詳細活動介紹：http://events.2017.taipei/,倒數,倒數,F,F,https://scontent.xx.fbcdn.net/v/t1.0-0/c53.0.130.130/p130x130/20637881_829045347271071_630212860689733357_n.jpg?oh=60b9b326b17f63f88186a3ac695339b4&oe=5A348887,https://scontent.xx.fbcdn.net/v/t1.0-9/c112.0.275.275/20637881_829045347271071_630212860689733357_n.jpg?oh=f253132fe6c1602b1f0f875e29992cd1&oe=59EC085E,https://www.facebook.com/events/148362095743429/,facebook.com,2017-08-03T04:16:39+0000,1501733799,2017/8/3 06:16,502,2,515,0,517,2,2,0,0,0,500,10,2,0,1,0,0,2017/8/3,2017,8,3,9,3,0,3,1,0
video,post_page_157215971120682,157215971120682_828860053956267,https://www.facebook.com/157215971120682/posts/828860053956267,??世大運韻律體操測試賽-詹庭甄個人全能奪銅??  世大運韻律體操測試賽8/2-8/3，在南港展覽館舉行 第一天賽程我國世大運代表隊分別在團體全能賽及個人全能賽收下兩銅 其中來自國立體大的詹庭甄以總分57.250拿到個人全能賽銅牌 一起來看看體操精靈的美妙舞姿!!  →2017臺北世大運韻律體操每日賽程??https://goo.gl/f2fzeQ →8/27 - 8/29 進場為選手加油喔 ?? https://goo.gl/gxbMEb,體操,運動,H,Rhythmic Gymnastics,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20617776_828860887289517_6400878594037383168_n.jpg?oh=00d153a89f5d5ddd28d1a6f1bc5e4908&oe=5A3568CC,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20617776_828860887289517_6400878594037383168_n.jpg?oh=2738fc7e8f4c1550334b116ad7d832ef&oe=5A2CE776,https://www.facebook.com/taipei2017/videos/828860053956267/,facebook.com,2017-08-03T03:44:00+0000,1501731840,2017/8/3 05:44,567,5,582,25,612,5,5,0,0,0,565,15,0,0,0,0,0,2017/8/3,2017,8,3,0,0,0,0,0,1
photo,post_page_157215971120682,157215971120682_828268240682115,https://www.facebook.com/157215971120682/posts/828268240682115,??聯發科技股份有限公司、宏碁股份有限公司、悠遊卡股份有限公司成為2017臺北世大運官方供應商??  聯發科技、宏碁、悠遊卡公司一同合作 為1.3萬名選手打造出兼具實用與便利的智慧健身夥伴- Leap Ware? 這支特別的智慧運動手錶內建悠遊卡儲值、消費功能同時也可偵測即時心律、追蹤個人健康資訊等功能 有台灣科技企業的支持，讓世界看見臺灣的軟實力!????♂?  ?? 購票進場一起支持世大運 https://tickets.2017.taipei/,廣告贊助,廣告贊助,G,G,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20476377_828268240682115_6072989289358708716_n.jpg?oh=75ed9a1d36aa22722a147e9e5524338d&oe=5A2D495C,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20476377_828268240682115_6072989289358708716_n.jpg?oh=926a2f695142807397e5642e95f5dfdf&oe=5A018FA3,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/828268240682115/?type=3,facebook.com,2017-08-03T01:00:00+0000,1501722000,2017/8/3 03:00,417,11,430,32,473,11,10,1,12,0,415,10,3,0,0,0,0,2017/8/3,2017,8,3,23,0,1,1,0,1
video,post_page_157215971120682,157215971120682_828752573967015,https://www.facebook.com/157215971120682/posts/828752573967015,【名人說故事4 - 許淑淨】 女生的力量可以有多大? 她舉起了全世界、讓世界看到臺灣 臺灣運動史上唯一奪得兩面金牌的選手 許淑淨Hsu Shu-Ching 這次你不用飛到其他國家，在家鄉就能近距離為她加油  #名人說故事 #2017臺北世大運 ??點我看更多許淑淨：https://goo.gl/2Zn8jg ??比賽地點：淡江大學體育館 ??捍衛我們的主場：https://goo.gl/BbNAaD,舉重,運動,H,Weightlifting,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20617714_828757397299866_4989928605476716544_n.jpg?oh=36bc9034d6906d1a4913e4f4a84defdd&oe=5A2EC6EF,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20617714_828757397299866_4989928605476716544_n.jpg?oh=d11159a1c04c1fd1a53cac177fa5bd83&oe=5A2AD755,https://www.facebook.com/taipei2017/videos/828752573967015/,facebook.com,2017-08-02T13:00:00+0000,1501678800,2017/8/2 15:00,1278,16,1320,126,1462,16,13,3,5,0,1277,41,1,0,0,0,0,2017/8/2,2017,8,2,4,0,0,0,0,1
video,post_page_157215971120682,157215971120682_828672713975001,https://www.facebook.com/157215971120682/posts/828672713975001,2017臺北世界大學運動會即將來到 熊讚由2D進化至3D，展演各式運動種類動作， 影片中不論是體操熊旋轉跳躍、溜冰熊競速追風、 武術熊一身武藝、田徑熊登高一跳等，  希望小朋友跟爸爸媽媽在 8 月 19 日至 8 月 30 日一起來購票觀看世大運，跟熊讚一起替台灣選手加油打氣，也跟熊讚一起在運動場上感受動感時刻，並留下美麗回憶。  ?? 購票跟熊讚一起替台灣選手加油打氣 https://tickets.2017.taipei/,吉祥物,運動,H,H,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20630793_828673163974956_8752543123273416704_n.jpg?oh=e42b351a77b24f725d5d78a10d9ff72d&oe=5A31BC3A,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20630793_828673163974956_8752543123273416704_n.jpg?oh=470c0215dcf8ea1874e8802be58ca3f6&oe=5A35AB80,https://www.facebook.com/taipei2017/videos/828672713975001/,facebook.com,2017-08-02T09:17:00+0000,1501665420,2017/8/2 11:17,720,10,747,101,858,10,10,0,4,0,720,20,1,6,0,0,0,2017/8/2,2017,8,2,29,4,3,7,1,0
photo,post_page_157215971120682,157215971120682_828608027314803,https://www.facebook.com/157215971120682/posts/828608027314803,??2017臺北世大運售票資訊 競賽門票清票釋出公告??  ??專屬世大運粉絲福利 單日競賽門票最後預購機會 今日 8/2 (三) 中午12:00 開始再次販售  7/31止未售完之套票額度將釋出至每日競賽門票販售， 還沒有搶到熱門賽事的粉絲們不要錯過這個機會喔!!!!  以下售票管道同步開放再次販售 ?? 2017臺北世大運購票網站 https://tickets.2017.taipei/ ?? 超商機台: 7-ELEVEN ibon 、萊爾富Life-ET、OK超商OK.go  ??競賽門票釋出公告 https://goo.gl/aQ1LpE,售票,售票,K,K,https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/20476543_828608027314803_2953165435818117540_n.jpg?oh=b660203bf142f709febcb024e8e66e7e&oe=59EC4F16,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/20476543_828608027314803_2953165435818117540_n.jpg?oh=cbbe0de2ee1121b64d049190b85dab8b&oe=59FB6DE9,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/828608027314803/?type=3,facebook.com,2017-08-02T03:53:08+0000,1501645988,2017/8/2 05:53,759,78,771,43,892,67,41,26,29,0,759,5,3,4,0,0,0,2017/8/2,2017,8,2,1,0,0,0,0,1
photo,post_page_157215971120682,157215971120682_828261104016162,https://www.facebook.com/157215971120682/posts/828261104016162,??台新國際商業銀行成為2017臺北世大運官方供應商??  因重視臺灣青年選手的養成 台新長期贊助多位體育選手、同時也參與本次世大運! 除現金贊助外，也將整合旗下宣傳資源 以實際行動支持臺灣體育發展與國際能見度??  #台新國際商業銀行 #練習成就今天 #為世大運加油  ?? 一起購票進場為選手加油 https://tickets.2017.taipei/,廣告贊助,廣告贊助,G,G,https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/20431385_828261104016162_4863271147324221835_n.png?oh=8131d83f36ca1acb3e508d3c370e8114&oe=59FE4FB8,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/20431385_828261104016162_4863271147324221835_n.png?oh=e776b175df328dcdba13f382d20466d8&oe=5A35F347,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/828261104016162/?type=3,facebook.com,2017-08-02T01:00:00+0000,1501635600,2017/8/2 03:00,262,2,267,10,279,2,2,0,0,0,262,3,2,0,0,0,0,2017/8/2,2017,8,2,4,2,2,4,1,0
video,post_page_157215971120682,157215971120682_828292987346307,https://www.facebook.com/157215971120682/posts/828292987346307,【名人說故事4】引言人- 徐裴翊  女生的力量可以有多大?她讓世界看見台灣 臺灣運動史上唯一奪得兩面金牌的選手許淑淨Hsu Shu-Ching 這次你不用飛到其他國家，在家鄉就能近距離為她加油  明天8/2 晚上9:00 完整呈現許淑淨Hsu Shu-Ching的故事  #名人說故事 #2017臺北世大運  ??點我看更多許淑淨：https://goo.gl/2Zn8jg ??比賽地點：淡江大學體育館 ??捍衛我們的主場：https://goo.gl/BbNAaD,舉重,運動,H,Weightlifting,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20613581_828295520679387_1140484434663833600_n.jpg?oh=7d41f5e3babe89ffc26728ed57c74599&oe=59EB41BF,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20613581_828295520679387_1140484434663833600_n.jpg?oh=4f95fefb1e1dbd9e1d7001c6ac4d6e3e&oe=59F73005,https://www.facebook.com/taipei2017/videos/828292987346307/,facebook.com,2017-08-01T13:00:00+0000,1501592400,2017/8/1 15:00,762,6,795,61,862,6,5,1,2,0,761,28,5,0,0,0,0,2017/8/1,2017,8,1,2,0,5,5,0,1
video,post_page_157215971120682,157215971120682_813051955537077,https://www.facebook.com/157215971120682/posts/813051955537077,??2017年國際韻律體操暨2017臺北世大運測試賽 即將於明天開始  想要提前感受賽會熱鬧氣氛的你千萬不要錯過喔!  韻律體操測試賽詳細賽程 https://goo.gl/PDtTs4  2017臺北世大運韻律體操每日賽程??https://goo.gl/f2fzeQ 8/27 - 8/29 進場為選手加油喔 ?? https://goo.gl/gxbMEb,韻律體操,運動,H,Rhythmic Gymnastics,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19930074_813052352203704_4610288560623321088_n.jpg?oh=4308cec5076d8f8c021cc4e800297c7a&oe=59F7EDB6,https://scontent.xx.fbcdn.net/v/t15.0-10/19930074_813052352203704_4610288560623321088_n.jpg?oh=d04fbe343e19d48e501bcca07c6f0b80&oe=59F0575B,https://www.facebook.com/taipei2017/videos/813051955537077/,facebook.com,2017-08-01T09:22:54+0000,1501579374,2017/8/1 11:22,796,17,832,63,912,17,11,6,4,0,796,27,3,6,0,0,0,2017/8/1,2017,8,1,27,3,18,21,1,0
video,post_page_157215971120682,157215971120682_828181020690837,https://www.facebook.com/157215971120682/posts/828181020690837,?世大運之星-高爾夫俞俊安 ? 16歲就拿下亞運銅牌，目前就讀亞利桑那州立大學的俞俊安 世大運當然也不會缺席，向學校請假也要為中華隊在臺灣留下獎牌 ?? 高爾夫這次入選選手除了俞俊安外， 還有劉永華、賴嘉一、陳之敏、侯羽桑、陳萱共6位選手 8/24~8/27 高爾夫球賽事 就在揚昇高爾夫鄉村俱樂部 一起來為這些好手加油吧！  ?? 世大運高爾夫賽程：https://goo.gl/ZqvBY7 ?? 購票進場為選手加油：https://goo.gl/YS2UKM,高爾夫,運動,H,Golf,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20613387_828181500690789_3046438848721584128_n.jpg?oh=79510b794edb752094f0961291291ebc&oe=5A397362,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20613387_828181500690789_3046438848721584128_n.jpg?oh=13d85ab245c9937f265999661b952885&oe=59FB5ED8,https://www.facebook.com/taipei2017/videos/828181020690837/,facebook.com,2017-08-01T04:42:51+0000,1501562571,2017/8/1 06:42,436,11,443,41,495,11,11,0,2,0,435,5,2,0,0,0,0,2017/8/1,2017,8,1,29,4,3,7,1,0
photo,post_page_157215971120682,157215971120682_827717134070559,https://www.facebook.com/157215971120682/posts/827717134070559,★★★2017世大運競賽門票預售8折優惠至今日(7月31日)★★★  2017臺北世大運競賽門票抽獎活動【留言送好禮】～第三週～START！  競賽門票抽獎活動持續熱身， 活動將持續至 8 月 27 日止，還有4週，  只要在每週指定po文完成下面活動說明3步驟，就有機會得獎！  每週一抽出前一週參加活動的150位幸運朋友～快來留言參加！  ??上一週留言送好禮活動中獎名單， 請見競賽門票抽獎活動專頁：https://goo.gl/Wg5PDM  ★活動說明： 1. 加入「競賽門票抽獎活動」活動頁面 https://goo.gl/k43yin  2. 在此篇貼文留言 #購買世大運競賽門票 #一起來為世大運選手加油 即可參加!!  3. 活動期間：本篇留言截止至8 月 6 日 23:59 止  ★得獎公佈日期： 8 月 7 日中午   ★贈獎人數：150 位幸運朋友  ★活動贈品(隨機出貨)：世大運雙層玻璃隨行杯、超萌熊讚絨毛玩偶或世大運2in1掛牌行李束帶 快來訂閱活動頁面、留言抽好禮！  更重要的是，購票進場為選手們加油打氣喔！  ?? 世大運競賽門票抽獎活動網站：https://luckydraw.2017.taipei  ?? 官方購票網站：https://tickets.2017.taipei  備註:本抽獎活動以FB ID確認中?人身份與聯繫，恕不接受電話確認，因故無法確認中?人身份，將不列入中?資格。,售票,售票,K,K,https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/20476175_827717134070559_2736576959026536484_n.jpg?oh=03ded4857ec07f9dbda544d5effbb310&oe=5A31EACB,https://scontent.xx.fbcdn.net/v/t1.0-9/20476175_827717134070559_2736576959026536484_n.jpg?oh=39f03374445c1998a1efa9159ddc445c&oe=5A312E45,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/827717134070559/?type=3,facebook.com,2017-07-31T04:01:07+0000,1501473667,2017/7/31 06:01,2144,2019,2170,687,4876,2003,1931,72,160,0,2129,20,4,2,0,0,0,2017/7/31,2017,7,31,5,4,2,6,1,0
photo,post_page_157215971120682,157215971120682_813690168806589,https://www.facebook.com/157215971120682/posts/813690168806589,??世大運之星- ??舉起世界 許淑淨Hsu Shu-Ching ??  舉重好手許淑淨拿過各大國際賽事的金牌，包括奧運、亞運、世錦賽及亞錦賽，就差世大運金牌就能完成金牌大滿貫，這次臺北世大運千萬不要錯過，一起進場力挺許淑淨。   1?抓台許淑淨舉重53公斤級  2?澳奧運戰績輝煌2金：?? 2012倫敦奧運女子53公斤級金牌、?? 2016里約奧運子53公斤級金牌  3?世界紀錄：2014年仁川亞運，在女子53公斤級以抓舉101公斤、挺舉132公斤，總和成績233公斤，創53公斤級總和成績舉重世界紀錄??   ?分享圖片為許淑淨集氣加油??  ??點我看更多許淑淨：https://goo.gl/2Zn8jg ??比賽地點：淡江大學體育館 ??捍衛我們的主場：https://goo.gl/BbNAaD,舉重,運動,H,Weightlifting,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19756839_813690168806589_4673833357698465306_n.jpg?oh=65a9ecdaac30247f6d9ebf456ecd859b&oe=59FAAFDF,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19756839_813690168806589_4673833357698465306_n.jpg?oh=d87b004d2b03e84519e513b55590ef49&oe=5A01DC20,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/813690168806589/?type=3,facebook.com,2017-07-31T03:44:00+0000,1501472640,2017/7/31 05:44,1045,32,1072,38,1142,28,20,8,4,0,1044,21,6,0,0,0,0,2017/7/31,2017,7,31,0,1,0,1,1,0
video,post_page_157215971120682,157215971120682_813717958803810,https://www.facebook.com/157215971120682/posts/813717958803810,田徑包含田賽和徑賽各式各樣的項目喔！ 這次世大運田徑的項目有  鐵餅、標槍、鉛球、鏈球、跳高、跳遠、三級跳遠、撐竿跳高； 100 公尺、200 公尺、400 公尺、800 公尺、1500 公尺、5000 公尺、10000 公尺、4x100 公尺接力、4x400 公尺接力、110 公尺跨欄、400 公尺跨欄、3000 公尺障礙； 20 公里競走（個人／團體）、半程馬拉松（個人／團體）、男：十項運動，女：七項運動；  這麼多種項目呢！！　你最想要看那種呢？  ?? 田徑每日賽程 https://goo.gl/kHmHbn ?? 購票進場來為選手加油 https://goo.gl/8JhNcc,田徑,運動,H,Football,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19937545_813718432137096_6583717825729265664_n.jpg?oh=5791ecca83960ecb3b45208302a2a6fe&oe=5A36086C,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19937545_813718432137096_6583717825729265664_n.jpg?oh=755b3dcbd6629e0eacf797fae4795d0b&oe=59FC1DD6,https://www.facebook.com/taipei2017/videos/813717958803810/,facebook.com,2017-07-30T09:17:00+0000,1501406220,2017/7/30 11:17,1136,12,1165,161,1338,12,8,4,9,0,1135,28,1,0,0,0,0,2017/7/30,2017,7,30,3,0,1,1,0,1
photo,post_page_157215971120682,157215971120682_788353368006936,https://www.facebook.com/157215971120682/posts/788353368006936,帶不走的是風景 帶得走的叫回憶 選幾天 打包走這趟旅程中 最美好的紀念品  ??世大運城市觀光導覽：https://www.travels.2017.taipei/ ?? 快來安排觀賽日程：https://goo.gl/BeWhh7 ?? 購票進場熱血應援！http://tickets.2017.taipei,其他,售票,K,K,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/18557459_788353368006936_7833889975624253042_n.jpg?oh=5e0034556e52cb64be3fb93f1cf9de34&oe=59F933A9,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/18557459_788353368006936_7833889975624253042_n.jpg?oh=19a2ec283437e388fdb3608f2ca5bdf0&oe=5A2F0756,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/788353368006936/?type=3,facebook.com,2017-07-30T06:44:00+0000,1501397040,2017/7/30 08:44,501,0,508,19,527,0,0,0,0,0,501,7,0,0,0,0,0,2017/7/30,2017,7,30,4,0,5,5,0,1
video,post_page_157215971120682,157215971120682_813718508803755,https://www.facebook.com/157215971120682/posts/813718508803755,看看著投手與打者，視線交會之間的激烈火花， 每次投出與揮棒，是否讓你熱血沸騰呢?  ? 棒球每日賽程 https://goo.gl/zh2prq ?? 快來買棒球套票享受每場精彩比賽 https://goo.gl/vWCN3S,棒球,運動,H,Baseball,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19937523_813718715470401_5713332923554332672_n.jpg?oh=f67ec17783de2bc5594532b8e8cf02e1&oe=59FDB770,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19937523_813718715470401_5713332923554332672_n.jpg?oh=79710f0fbb57399e33900dbc2611ecec&oe=5A2A8CCA,https://www.facebook.com/taipei2017/videos/813718508803755/,facebook.com,2017-07-30T04:34:52+0000,1501389292,2017/7/30 06:34,741,24,770,87,881,24,11,13,7,0,741,14,1,14,0,0,0,2017/7/30,2017,7,30,2450,0,29,29,0,1
photo,post_page_157215971120682,157215971120682_826456100863329,https://www.facebook.com/157215971120682/posts/826456100863329,?? 重要公告 ?? iROO x世大運 活動取消  原訂於今 7 月 29 日下午 7 點 29 分 舉辦「iROO x世大運耀動時尚2017 Fashion Show」， 因颱風來襲，活動取消，請大家不要前往。  服裝設計將於下午 5 時預先錄影， 邀請大家於今晚 (7/29) 7 點29分 於iROO官方臉書 (https://www.facebook.com/irootw) 在家觀賞網路播出。,活動,活動,D,D,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20430171_826456100863329_905303646292358329_n.jpg?oh=fcb35c1cb3f026f69d6af0755258a3aa&oe=59F73278,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20430171_826456100863329_905303646292358329_n.jpg?oh=24bd81d1bdf34725c42e70d37a078eb6&oe=5A2C5A8F,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/826456100863329/?type=3,facebook.com,2017-07-29T07:16:40+0000,1501312600,2017/7/29 09:16,297,4,315,3,322,4,3,1,18,0,297,4,5,0,9,0,0,2017/7/29,2017,7,29,2,0,2,2,0,1
photo,post_page_157215971120682,157215971120682_817328405109432,https://www.facebook.com/157215971120682/posts/817328405109432,世大運國手??女孩私服大公開??  選手披上球衣、規定服裝上場比賽的畫面，大家都不陌生！ 但在平常生活中，這些女孩又是什麼樣子呢？ 這次帶大家看看世大運國手????? 楊千玫、陳湘婷、鄭先知與黃鈴娟私底下的穿搭風格 是不是很不一樣呢？??  #都好喜歡啊 #戀愛惹 #留言處有更多照片喔  ?? 快來安排觀賽日程：https://goo.gl/BeWhh7 ?? 購票進場熱血應援！http://tickets.2017.taipei,運動,運動,H,H,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20264795_825400507635555_7676262254956740097_n.jpg?oh=62566cc95ed4e9a534cbe8364f81b9b5&oe=59EEB327,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20264795_825400507635555_7676262254956740097_n.jpg?oh=f021caa334dc4a6b1c53b42a05b24677&oe=5A2E86D8,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/825400507635555/?type=3,facebook.com,2017-07-29T05:14:00+0000,1501305240,2017/7/29 07:14,2241,37,2336,45,2418,36,17,19,123,0,2239,67,20,6,2,0,0,2017/7/29,2017,7,29,1,0,0,0,0,1
photo,post_page_157215971120682,157215971120682_813776295464643,https://www.facebook.com/157215971120682/posts/813776295464643,?Passengers arriving from the Taoyuan Airport MRT can easily transfer to the Orange Line at Sanchong Station (O15) and then take Red  Blue or Green Lines at their respective junction stations.??  ??Venues of the following final matches can be accessed by the Orange line:  1. Xinzhuang Station (O18): Table Tennis ?? 2. Fu Jen University Station (O19): Football ?  For the competition Schedule: https://goo.gl/rD7xup Tickets Information: https://tickets.2017.taipei/  For more information about Taipei MRT  please visit?? http://english.metro.taipei,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19748499_813776248797981_6383176097465582556_n.jpg?oh=31eb514467a434d0c599b6191136020a&oe=59F96F84,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19748499_813776248797981_6383176097465582556_n.jpg?oh=06355e822e959ce407143cdd9edc4670&oe=5A01EE7B,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/813776248797981/?type=3,facebook.com,2017-07-28T03:44:00+0000,1501213440,2017/7/28 05:44,266,1,271,8,280,1,1,0,0,0,266,5,0,0,0,0,0,2017/7/28,2017,7,28,2,0,0,0,0,1
video,post_page_157215971120682,157215971120682_825411110967828,https://www.facebook.com/157215971120682/posts/825411110967828,??世大運聖火傳遞- LOVE路線V第三站高雄 ??聖火首度進入國訓中心 為選手鼓舞士氣  最後火炬手們齊聚壽山情人觀景臺 共同宣示「北高齊心 世大運奪金」 期盼臺灣健兒在本屆世大運創造輝煌佳??  ??下一站 7 月 28 日前進嘉義  ?? 更多國內聖火傳遞 https://goo.gl/wUw9JX ? 快來High翻閉幕式買票去 https://goo.gl/AJpZAC  The torch relay continues its LOVE route across Taiwan. The torch relay passes to boost the morale of Taiwan s contestants in Kaohsiung on the third leg of the V shaped part.  ??More Torch Relay https://goo.gl/YhKLGz ? Closing Ceremony https://goo.gl/AJpZAC,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20453398_825411830967756_6750176236837797888_n.jpg?oh=2d89bb093cc35844a61c4bb6cbc5c84d&oe=5A33958D,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20453398_825411830967756_6750176236837797888_n.jpg?oh=54e83abb45f2da04f3c3d2f90c1ee483&oe=5A2B1437,https://www.facebook.com/taipei2017/videos/825411110967828/,facebook.com,2017-07-27T11:41:21+0000,1501155681,2017/7/27 13:41,765,8,780,23,811,8,5,3,0,0,763,12,0,3,0,0,0,2017/7/27,2017,7,27,0,0,1,1,0,1
